epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,8585.68,0.75374,0.54213,1.05985,0.76878,0.77525,0.7618,0.56068,0.93164,0.85001,1.07963,0.003664,0.003664,0.003664
130,8657.88,0.75273,0.54407,1.05941,0.76895,0.77653,0.76208,0.55979,0.93158,0.85134,1.07971,0.0036145,0.0036145,0.0036145
131,8725.61,0.75458,0.54557,1.06144,0.77933,0.76567,0.7613,0.55876,0.93312,0.85173,1.08086,0.003565,0.003565,0.003565
132,8793.71,0.74583,0.54199,1.05913,0.77957,0.76677,0.7617,0.55929,0.93444,0.85129,1.08152,0.0035155,0.0035155,0.0035155
133,8861.8,0.74636,0.53737,1.05695,0.77943,0.76876,0.76159,0.55943,0.93453,0.85165,1.08133,0.003466,0.003466,0.003466
134,8930.12,0.7426,0.53733,1.05547,0.78347,0.7673,0.76175,0.5598,0.93564,0.85108,1.08301,0.0034165,0.0034165,0.0034165
135,8999.74,0.74592,0.53664,1.05851,0.7825,0.76799,0.76178,0.55885,0.9362,0.84937,1.08449,0.003367,0.003367,0.003367
136,9075.7,0.74445,0.53625,1.05628,0.78139,0.76822,0.76199,0.5594,0.93541,0.84916,1.08346,0.0033175,0.0033175,0.0033175
137,9146.07,0.73747,0.53357,1.0532,0.77542,0.77148,0.76153,0.55877,0.93515,0.84827,1.08342,0.003268,0.003268,0.003268
138,9216.42,0.73913,0.53247,1.05552,0.78163,0.76876,0.76219,0.55955,0.93597,0.84845,1.08498,0.0032185,0.0032185,0.0032185
139,9285.65,0.73907,0.53034,1.05385,0.78348,0.76561,0.76239,0.55999,0.93637,0.85053,1.08621,0.003169,0.003169,0.003169
140,9355.65,0.73701,0.53242,1.05426,0.78056,0.76835,0.75982,0.55807,0.93654,0.85029,1.08699,0.0031195,0.0031195,0.0031195
141,9425.9,0.72911,0.52469,1.05502,0.78202,0.765,0.76025,0.55881,0.93668,0.85144,1.08723,0.00307,0.00307,0.00307
142,9494.14,0.73705,0.52442,1.0523,0.77802,0.7696,0.76004,0.55844,0.93716,0.85146,1.08792,0.0030205,0.0030205,0.0030205
143,9565.7,0.73225,0.52415,1.04875,0.77603,0.77225,0.75922,0.55768,0.93789,0.85035,1.08864,0.002971,0.002971,0.002971
144,9634.02,0.72763,0.52273,1.04775,0.77377,0.77295,0.75879,0.55694,0.9387,0.85205,1.08857,0.0029215,0.0029215,0.0029215
145,9704.36,0.72724,0.52395,1.04956,0.773,0.77315,0.75823,0.5569,0.93847,0.8533,1.08773,0.002872,0.002872,0.002872
146,9775.85,0.72636,0.51713,1.04829,0.77223,0.77483,0.75891,0.55704,0.9388,0.85384,1.08725,0.0028225,0.0028225,0.0028225
147,9844.59,0.72919,0.51749,1.05109,0.77336,0.77399,0.75896,0.55731,0.93815,0.85311,1.08671,0.002773,0.002773,0.002773
148,9911.71,0.72804,0.51897,1.04922,0.77813,0.77139,0.75953,0.55725,0.93724,0.85249,1.0855,0.0027235,0.0027235,0.0027235
149,9978.7,0.72499,0.51136,1.04262,0.77657,0.77065,0.75945,0.55771,0.93676,0.8527,1.08432,0.002674,0.002674,0.002674
